date,country,value,days_since100,perc_growth,cases_per1m,cases_perICU
2020-03-06,United Kingdom,164,1,1.4137931034482758,2.4285440884113254,0.08095146961371084
2020-03-07,United Kingdom,207,2,1.2621951219512195,3.0652965018362464,0.1021765500612082
2020-03-08,United Kingdom,274,3,1.3236714975845412,4.057445611126239,0.1352481870375413
2020-03-09,United Kingdom,322,4,1.1751824817518248,4.768239002856383,0.15894130009521273
2020-03-10,United Kingdom,384,5,1.1925465838509317,5.686347133841152,0.18954490446137173
2020-03-11,United Kingdom,459,6,1.1953125,6.7969618084195025,0.2265653936139834
2020-03-12,United Kingdom,459,7,1.0,6.7969618084195025,0.2265653936139834
2020-03-13,United Kingdom,802,8,1.747276688453159,11.876172920157824,0.3958724306719274
2020-03-14,United Kingdom,1144,9,1.42643391521197,16.940575836235098,0.5646858612078366
2020-03-15,United Kingdom,1145,10,1.0008741258741258,16.955384031896145,0.5651794677298714
2020-03-16,United Kingdom,1551,11,1.3545851528384278,22.96751147028028,0.7655837156760092
2020-03-17,United Kingdom,1960,12,1.2637008381689232,29.02406349564755,0.9674687831882515
2020-03-18,United Kingdom,2642,13,1.3479591836734695,39.123252936480014,1.3041084312160003
2020-03-19,United Kingdom,2716,14,1.028009084027252,40.21905941539732,1.3406353138465772
2020-03-20,United Kingdom,4014,15,1.4779086892488955,59.4400973834333,1.9813365794477762
2020-03-21,United Kingdom,5067,16,1.2623318385650224,75.03312741451333,2.501104247150444
2020-03-22,United Kingdom,5745,17,1.133806986382475,85.07308407270162,2.8357694690900535
2020-03-23,United Kingdom,6726,18,1.1707571801566579,99.59992401618643,3.319997467206214
2020-03-24,United Kingdom,8164,19,1.2137972048765984,120.89410937676867,4.029803645892288
2020-03-25,United Kingdom,9640,20,1.1807937285644292,142.7510061724706,4.758366872415686
2020-03-26,United Kingdom,11812,21,1.2253112033195022,174.9144071482596,5.83048023827532
2020-03-27,United Kingdom,14745,22,1.248306806637318,218.34684502210362,7.278228167403453
2020-03-28,United Kingdom,17312,23,1.1740929128518143,256.3594832840053,8.545316109466842
2020-03-29,United Kingdom,19780,24,1.1425600739371533,292.90611017546354,9.763537005848782
2020-03-30,United Kingdom,22453,25,1.1351365015166834,332.4884171774359,11.082947239247863
2020-03-31,United Kingdom,25481,26,1.1348594842560014,377.3276336390792,12.577587787969305
2020-04-01,United Kingdom,29865,27,1.172049762568188,442.246763417099,14.741558780569965
2020-04-02,United Kingdom,34173,28,1.1442491210447012,506.04047032487944,16.86801567749598
2020-04-03,United Kingdom,38689,29,1.1321511134521405,572.9142819301571,19.097142731005235
